-112.6234,5.6980,-1.5043,0.0000
-753.4914,72.2478,-3.9508,1.0000
-73.1868,-1.0022,-1.7892,0.0000
-595.7685,3.4881,3.9446,1.0000
-221.6484,-3.2851,-0.9585,1.0000
-13.0028,1.0937,-0.9649,1.0000
-144.8260,13.1728,-1.6619,1.0000
-258.8832,-37.5351,0.9701,1.0000
-90.5946,4.0106,-1.4510,0.0000
-44.0685,3.2699,-1.3236,0.0000
-43.5988,-5.9454,-1.0037,0.0000
-91.7458,3.2049,-1.2560,0.0000
-473.2597,32.1634,-1.3028,0.0000
-746.6303,58.7845,-4.9145,0.0000
-5.1083,-0.2373,-0.9503,0.0000
-87.3269,-6.6176,-0.2273,0.0000
-63.4697,2.5046,-1.0654,0.0000
-8.0723,0.2614,-0.9452,0.0000
-99.3528,-11.7766,-0.9733,1.0000
-46.0357,3.6350,-0.9644,0.0000
-82.0946,-11.7190,-1.8306,1.0000
-63.0192,-6.8884,-2.7740,1.0000
-362.3767,4.1460,-2.1390,1.0000
-69.0777,-0.7033,-2.0157,0.0000
-28.2976,0.5614,-1.7443,0.0000
-77.8788,-28.7580,-2.1724,1.0000
-102.6118,4.9097,-2.7082,1.0000
-73.1785,-0.9509,-1.1660,0.0000
-37.0436,-9.1390,-1.4979,1.0000
-11585.1054,-8154.6714,606.4127,1.0000
-260.6090,-11.7407,1.4716,0.0000
-12.3474,-1.0533,-0.9815,0.0000
-1462.1580,223.6998,-5.2525,0.0000
-70.9061,-5.5357,-2.5743,1.0000
-18.4335,-1.0513,-1.1001,0.0000
-61.4966,2.1723,-1.0420,1.0000
-5.1083,-0.2373,-0.9503,0.0000
-17.6237,-2.2666,-1.7469,0.0000
-92.8523,-45.2827,0.9961,1.0000
-13.5074,-1.9522,-1.8522,0.0000
-65.4388,2.8436,-1.0058,1.0000
-554.7111,66.2644,-1.9468,0.0000
-44.2433,2.2430,-1.7217,0.0000
-12.8493,-4.0435,-1.2239,0.0000
-59.3718,2.6977,-2.5404,0.0000
-194.3324,-45.7324,-2.6120,0.0000
-396.0625,-9.0645,2.6338,1.0000
-53.9474,-1.1826,-1.5178,0.0000
